nido;long;ancho;prof;soporte;alt;vis;temp rep;huevos;pichones;volantones;exinido
152;11;12;9;solglsolpi;75;0,8;2018;0;0;0;0
153;11;13;7;solglsolpi;59;0,8;2018;3;0;0;0
154;15;12;9;solglech;51;0,4;2018;2;1;0;0
155;10;11;7;perpu;76;0;2018;3;2;1;1
157;13;10;8;perpu;68;1;2018;3;0;0;0
158;9;14;8;Solanum g, solanum p, Persicaria ;79;1;2018;0;0;0;0
161;10;12;6;perpu;43;0;2018;3;3;0;0
166;10;16;9;solglsolpiperpu;62;0,2;2018;0;0;0;0
168;12;9;6;perpu;62;0;2018;3;3;0;0
169;10;12;8;perpu;79;0,2;2018;3;0;0;0
